Name,Cores,Threads,Base Clock,TDP,Performance,Actual,Predicted
Intel Xeon E5-2680 V3,2,24,2.5,120.0,High-End,High-End,
AMD Ryzen 9 5950X,16,32,3.4,105.0,High-End,High-End,
Intel Core i3-6100,2,4,3.7,47.0,Low-End,Low-End,
AMD Ryzen Threadripper 3990X,64,128,2.9,280.0,High-End,High-End,
AMD A8-7670K,2,2,3.6,95.0,Low-End,Low-End,
AMD FX-8150,8,8,3.6,125.0,High-End,High-End,
AMD Ryzen 5 2600X,6,12,3.6,95.0,High-End,High-End,
AMD Ryzen 3 1200,4,4,3.1,65.0,Mid-End,Mid-End,
Intel Core i9-12900F,8,16,2.4,65.0,High-End,High-End,
Intel Core i5-9600,6,6,3.1,65.0,Mid-End,Mid-End,
Intel Core i3-13100,4,8,3.4,60.0,Mid-End,Mid-End,
AMD Ryzen 5 5600X,6,12,3.7,65.0,High-End,High-End,
Intel Core i7-12700F,8,16,2.1,65.0,High-End,High-End,
Intel Core i7-3770K,4,8,3.5,77.0,Mid-End,Mid-End,
AMD Ryzen Threadripper 2950X,16,32,3.5,180.0,High-End,High-End,
Intel Core i9-9900KS,8,16,4.0,127.0,High-End,High-End,
AMD Ryzen Threadripper Pro 5955WX,16,32,4.0,280.0,High-End,High-End,
Intel Core i5-10600,6,12,3.3,65.0,High-End,High-End,
AMD Ryzen 9 7900X,12,24,4.7,170.0,High-End,High-End,
Intel Core i3-7300,2,4,4.0,51.0,Low-End,Low-End,
AMD FX-8320,8,8,3.5,125.0,High-End,High-End,
AMD A10-7860K,2,2,3.6,65.0,Low-End,Low-End,
AMD Athlon 200GE,2,4,3.2,35.0,Low-End,Low-End,
AMD Ryzen 5 4500,6,12,3.6,65.0,High-End,High-End,
Intel Core i5-10400,6,12,2.9,65.0,High-End,High-End,
Intel Core i5-12600,6,12,3.3,65.0,High-End,High-End,
AMD Ryzen 3 2200G,4,4,3.5,65.0,Mid-End,Mid-End,
Intel Core i7-7740X,4,8,4.3,112.0,High-End,High-End,
Intel Core i5-12600KF,6,12,3.7,125.0,High-End,High-End,
Intel Pentium G4560,2,4,3.5,54.0,Low-End,Low-End,
AMD Ryzen 7 2700,8,16,3.2,100.0,High-End,High-End,
AMD Ryzen 9 3950X,16,32,3.5,105.0,High-End,High-End,
Intel Core i3-8100,4,4,3.6,65.0,Mid-End,Mid-End,
AMD A10-6790K,4,4,4.0,100.0,Mid-End,Mid-End,
AMD Ryzen 7 1800X,8,16,3.6,95.0,High-End,High-End,
AMD Athlon 240GE,2,4,3.5,35.0,Low-End,Low-End,
Intel Core i5-10600K,6,12,4.1,125.0,High-End,High-End,
Intel Core i3-8350K,4,4,4.0,91.0,Mid-End,Mid-End,
